TP,dist1st_mic,temp_cel,angle_deg,lt_mic,conty,lt_mic_sd
1,144,19.4,19,0.87,0.6,0.09
3,180,19.7,26,0.94,0.2,0.07
4,240,10,34,0.8,0.5,0.08
5,325,1.1,24,0.69,0.9,0.11
6,354,2.4,25,0.59,0.8,0.06
7,428,11.8,24,0.78,1,0.09
8,543,20,21,0.68,0.7,0.14
9,644,9,32,0.7,0.4,0.09
10,656,7.5,32,0.71,0.1,0.05
11,724,4.4,36,0.7,0.3,0.05
